Oblast;Misto_odberu;;Group2;Group32;Jednotka;Group33;Hodnota;Počet_hodnot_OUT2;Počet_hodnot_IN3;Počet_hodnot3;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;chuť;Neurčená jednotka;10.10.2022;PRIJAT;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;intestinální enterokoky;KTJ (MPN)/100 ml;10.10.2022;0;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;koliformní bakterie;KTJ (MPN)/100 ml;10.10.2022;0;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;MO - abioseston;procenta;10.10.2022;3;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;MO - počet organismů;jedinci/ml;10.10.2022;0;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;MO - živé organismy;jedinci/ml;10.10.2022;0;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;pach;Neurčená jednotka;10.10.2022;PRIJAT;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;pH;Neurčená jednotka;10.10.2022;7,2;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;počty kolonií při 22 °C;KTJ/ml;10.10.2022;74;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;počty kolonií při 36 °C;KTJ/ml;10.10.2022;34;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;teplota;°C;10.10.2022;11,2;0;;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;zákal;ZF(n);10.10.2022;2,1;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;železo;mg/l;10.10.2022;0,19;0;1;1;;;;;
ARCHIV Blansko - skupinový vodovod;Spešov, VDJ, upravená voda;;CI000001249012221490;;;;;;;;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300226096;chloridy;mg/l;1.11.2022;97;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300226096;;;;;;;;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;amonné ionty;mg/l;10.10.2023;0,07;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;barva;mg/l Pt;10.10.2023;5;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;dusičnany;mg/l;10.10.2023;32,9;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;dusičnany a dusitany;mg/l;10.10.2023;0,65;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;dusitany;mg/l;10.10.2023;0,006;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;Escherichia coli;KTJ (MPN)/100 ml;10.10.2023;0;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;fluoridy;mg/l;10.10.2023;0,329;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;fosforečnany;mg/l;10.10.2023;0,295;0;;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;hliník;mg/l;10.10.2023;0,003;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;hořčík;mg/l;10.10.2023;50,7;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;chlor volný;mg/l;10.10.2023;0,19;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;CHSK-Mn;mg/l;10.10.2023;0,83;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;chuť;Neurčená jednotka;10.10.2023;PRIJAT;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;intestinální enterokoky;KTJ (MPN)/100 ml;10.10.2023;0;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;koliformní bakterie;KTJ (MPN)/100 ml;10.10.2023;0;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;konduktivita;mS/m;10.10.2023;137;1;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;MO - abioseston;procenta;10.10.2023;0;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;MO - počet organismů;jedinci/ml;10.10.2023;0;0;1;1;;;;;
ARCHIV Skupinový vodovod Hustopeče - Vranovice;Vranovice, parc. č. 836/1 v k. ú. Přísnotice, čerpací stanice II, provoz;;CI00000129300234858;MO - živé organismy;jedinci/ml;10.10.2023;0;0;1;1;;;;;
